run time pace calories training_effect maxHR aveHR aveSpeed maxSpeed HRrest HRrest1 HRrest2 HRchange1 HRchange2
1 36.09 9.00 319 3.0 150 123 6.7 7.8 126 85 78 41 48
2 33.06 8.16 384 3.4 157 127 7.3 9.3 150 102 94 48 56
3 32.59 8.15 398 3.5 156 132 7.3 9.1 146 99 93 47 53
4 32.17 8.04 359 3.7 159 130 7.5 8.9 152 106 94 46 58
5 34.53 8.43 366 3.6 168 135 6.9 8.3 140 77 88 63 52
6 32.04 8.01 388 3.6 159 138 7.5 9.7 121 80 72 41 49
7 32.29 8.07 411 3.8 163 142 7.5 9.2 135 85 90 50 45
8 31.19 7.50 423 3.9 164 144 7.7 9.5 140 90 89 50 51
9 35.06 8.46 373 4.1 160 140 6.9 8.6 137 102 100 35 37
10 33.39 8.25 418 3.5 150 136 7.1 8.6 122 84 84 38 38
11 32.37 8.09 446 3.8 159 140 7.4 8.8 133 94 95 39 38
12 32.06 8.02 400 3.9 162 144 7.5 9.1 139 90 89 49 50
13 35.34 8.53 347 3.3 172 148 6.8 7.9 145 112 108 33 37
14 36.14 9.04 334 3.5 161 140 7.0 8.3 145 89 93 56 52
15 34.48 8.42 378 1.1 143 103 6.9 8.8 123 102 94 21 29
16 31.43 7.56 368 3.5 147 131 7.6 9.5 117 89 80 28 37
17 35.46 8.57 320 3.2 158 136 6.7 8.2 145 101 100 44 45
18 34.19 8.35 326 3.5 160 136 7.0 7.9 144 97 94 47 50
19 34.17 8.34 302 3.8 173 153 7.0 8.1 143 86 76 57 67
