"NR" "Area" "Latitude" "Elev" "Dist" "Soil" "Years" "Deglac" "Human.pop"
"1" 269 21345 44.89 344 35.5 72 13275 13189 251
"2" 260 20170 41.41 219 5.5 19 12273 14575 9691
"3" 260 10590 42.86 51 12.5 63 4941 11952 2060
"4" 262 18134 43.16 142 25.4 38 9332 12397 0
"5" 257 25565 42.57 14 31.6 37 8565 14683 3988
"6" 263 21985 44.89 73 14.9 73 10066 13255 0
"7" 260 16460 43.68 118 39.8 48 7213 14206 4961
"8" 266 22887 41.86 429 36.8 55 12233 13746 1173
"9" 250 3092 44.51 32 6.2 17 6186 13129 0
"10" 259 4757 44.16 126 41 54 7499 13850 0
"11" 246 1837 42.23 28 25 9 13615 13102 0
"12" 263 21436 41.48 166 1.9 66 5213 12705 2127
"13" 263 16460 41.12 310 6.2 21 10211 14901 6962
"14" 263 16346 41.63 154 5 61 5505 14967 0
"15" 260 16324 42.08 444 12.8 11 5692 12234 0
"16" 257 17440 43.46 123 1.8 18 4148 12962 8624
"17" 262 6816 44.93 316 38.8 64 4458 14953 0
"18" 254 831 41.24 348 21.9 26 8773 12212 0
"19" 266 9642 43.17 437 24.4 47 12370 13604 7148
"20" 251 4450 43.98 69 2 7 9975 13994 0
"21" 264 22012 41.8 196 2.6 38 7287 14893 0
"22" 267 16550 44.94 327 1.4 56 9272 11812 0
"23" 255 20514 43.97 220 28.8 2 8322 12016 0
"24" 258 6238 42.25 134 39.9 22 11471 11957 0
"25" 261 7972 44.4 175 29.2 50 13020 13751 3945
"26" 256 20828 43.05 191 2.6 8 5870 13397 6676
"27" 263 15817 41.97 331 13.7 21 10833 13550 0
"28" 250 1667 42.65 25 16.2 63 7422 12080 0
"29" 259 6199 41.77 155 2.7 48 9038 14264 0
"30" 257 4113 42.59 368 27.6 15 9442 12074 0
"31" 252 2460 43.16 66 39.5 36 11165 13984 0
"32" 256 5636 42.36 84 42.5 30 4679 14213 6576
"33" 267 23263 43.71 420 28.7 71 13591 13865 10133
"34" 259 25955 42.12 54 36.3 19 9455 11774 0
"35" 266 26344 42.38 424 5.4 24 12119 14797 0
"36" 260 23622 44.87 113 19.8 20 11034 14951 10695
"37" 258 16793 44.39 75 20.7 22 6477 12933 0
"38" 246 1441 43.61 130 26.8 3 8648 14665 0
"39" 258 1272 41.86 207 35.4 69 8791 12008 0
"40" 261 3220 42.54 443 9 64 5401 13433 0
"41" 267 19718 42.01 419 32.6 53 11482 11944 0
"42" 262 7729 43.11 452 7.2 33 13471 14704 0
"43" 257 6058 43.56 84 21.5 46 11236 12481 417
"44" 257 10674 43.85 89 32 22 6806 12335 0
"45" 260 13835 44.34 102 5.6 30 11994 12930 0
"46" 261 25729 42.94 164 1.8 13 9653 14908 0
"47" 268 26451 42.58 381 13.7 57 11137 11891 2469
"48" 265 7207 43.79 463 22.2 58 13436 13490 6636
"49" 253 1649 43.17 46 10.7 57 10454 12310 0
"50" 259 13571 42.43 58 3.9 44 4711 12426 0
"51" 262 23885 43.05 358 29.1 8 9597 14136 0
"52" 259 12975 43.51 119 16.3 21 7463 12571 7911
"53" 264 20902 44.68 365 2 45 11436 12751 0
"54" 267 25458 41.74 462 25.7 35 13725 12457 0
"55" 258 7003 42.69 57 16.3 42 4832 13434 7925
"56" 255 6971 43.73 118 37 12 12017 13101 4577
"57" 266 17200 41.09 375 36.7 67 13996 14475 10108
"58" 265 21260 42.76 275 30.8 71 4373 13657 0
"59" 262 26302 43.86 326 18.8 9 8905 13170 0
"60" 259 1272 42.04 347 35.3 71 6087 12651 0
"61" 256 3213 44.14 71 15.5 48 10269 13614 3577
"62" 263 10174 44.37 320 42 43 4863 14252 7127
"63" 262 21549 41.35 187 4.9 16 6978 11732 0
"64" 257 7280 44.03 195 41.8 12 8190 13417 0
"65" 259 7779 41.17 376 8.3 12 12448 12433 0
"66" 254 2235 41.27 270 25.5 16 9533 12880 6127
"67" 256 16798 41.08 122 33.1 5 6310 12090 0
"68" 259 19378 44.27 145 5.9 24 9617 12336 2324
"69" 259 3068 43.05 377 36.5 48 12908 12455 7659
"70" 264 10138 41.63 464 28.5 38 8704 12607 8715
"71" 254 3547 42.82 112 14.1 19 7875 14516 0
"72" 262 17318 44.72 76 3 55 5356 14787 7590
"73" 257 981 43.26 339 15.6 39 7149 13193 0
"74" 257 3888 43.45 125 41.2 26 12164 13048 0
"75" 264 24495 41.56 418 23.2 35 11132 11814 671
"76" 265 15344 41.44 426 2.2 52 3846 12402 0
"77" 247 1709 43.8 109 17.3 4 8757 13197 3437
"78" 255 2130 41.54 191 30 25 13513 14122 729
"79" 256 3968 43.7 97 3.6 57 8174 12920 0
"80" 265 7181 44.11 460 35.1 69 6997 13385 0
"81" 248 4589 43.07 6 30.5 37 6319 13833 0
"82" 250 288 41.8 126 30.8 47 4730 14998 0
"83" 260 3261 43.83 268 6.2 58 5460 12535 0
"84" 258 7227 43.01 128 30.9 20 4700 14769 1637
"85" 264 18058 44.24 238 22 32 4759 13143 0
"86" 258 13953 42.71 44 14.6 63 5381 13514 8159
"87" 260 6748 42.02 374 36.6 18 8973 12801 9443
"88" 263 22535 43.66 380 5.1 22 13871 14263 0
"89" 260 8603 41.28 165 39.1 30 9088 13142 0
"90" 262 6551 44.85 344 30.3 56 11216 12795 8247
"91" 265 22766 42.61 173 23.3 59 5439 14903 9189
"92" 248 3156 42.83 37 2.8 14 7483 12988 0
"93" 257 12492 43.6 67 36.8 18 11729 13975 86
"94" 257 12820 43.93 146 36.5 12 3834 11969 0
"95" 261 11729 44.82 138 1.1 61 10632 13510 2950
"96" 261 22374 44.61 47 15.9 38 6027 14091 571
"97" 260 15972 41.4 97 4.5 31 11620 11961 10264
"98" 264 4450 41.18 383 33.9 70 4638 14617 0
"99" 259 15156 43.18 284 10.6 6 3880 12640 0
"100" 251 16884 41.85 233 15.9 1 12532 12201 7156
"101" 264 18650 41.25 212 26.8 33 9505 12905 0
"102" 267 23510 41.43 316 7.9 38 12243 12011 0
"103" 262 20452 42.13 101 4.8 50 6370 13274 5694
"104" 256 2295 41.25 304 26.6 73 5677 13117 0
"105" 259 20709 44.85 312 10.2 5 12562 13026 0
"106" 263 26525 41.54 417 29.5 12 10736 14111 7319
"107" 259 8287 42.28 49 38.5 65 5678 12493 0
"108" 253 1240 42.15 192 27.3 12 9864 13557 0
"109" 254 19178 42.44 13 35.2 26 4238 12955 8838
"110" 259 18392 43.26 207 21.7 8 10342 14066 0
"111" 257 6368 44.49 147 37.8 24 11588 13957 3515
"112" 259 1789 43.95 316 14.6 29 13442 13225 0
"113" 263 9974 42.78 240 8.9 70 13780 14872 0
"114" 264 19316 43.47 415 29.6 34 13258 13585 2006
"115" 260 13188 44.4 131 32.2 65 8628 14514 0
"116" 256 13478 41.81 384 39.4 4 11903 11732 0
"117" 261 11168 42.34 189 4.7 55 12977 11799 0
"118" 268 19544 43.43 383 38.7 71 12520 13145 0
"119" 255 4612 41.81 219 22 10 10158 11772 0
"120" 259 12787 41.9 465 38.5 6 10256 14719 0
"121" 258 11383 41.8 42 41.4 51 4533 12771 0
"122" 267 25744 41.45 445 27.6 34 4973 14129 0
"123" 265 16569 42.17 226 10.9 69 9060 14582 0
"124" 262 26148 44.14 344 0.4 10 5242 11742 0
"125" 254 6199 43.05 20 21.7 57 5049 13539 0
"126" 265 15677 43.66 434 29.3 48 13410 13658 0
"127" 254 14895 43.89 97 8 5 6408 12776 0
"128" 262 16511 41.95 175 0.5 32 6527 13842 0
"129" 263 22888 44.41 385 34.3 17 12382 14635 5229
"130" 254 4519 44.5 51 36.6 55 9680 12824 0
"131" 259 5157 42.7 143 35.3 37 6974 14475 0
"132" 262 14917 42.59 223 22.6 23 7073 14259 8606
"133" 263 15952 41.2 180 12.2 48 10750 14562 0
"134" 254 2680 43.65 181 27 13 5020 12547 9462
"135" 258 7861 44.04 166 27.2 34 12352 14255 0
"136" 249 11605 41.76 9 18.5 28 13504 14646 0
"137" 252 16014 41.29 383 29.5 1 4330 14336 0
