Location	TotalHealthSpending	Uninsured	Total	per_capita_spending	proportion_uninsured
Alabama	33788	724800	4763900	70925.08239	0.152144252
Alaska	7684	102200	702000	109458.6895	0.145584046
Arizona	41481	1223000	6603100	62820.4934	0.185216035
Arkansas	20500	436800	2904800	70572.84495	0.150371798
California	278168	5594100	38176400	72863.86354	0.146532937
Colorado	34090	654000	5297800	64347.46499	0.123447469
Connecticut	34223	366100	3578900	95624.35385	0.102294001
Delaware	9038	62700	909300	99395.13912	0.068954141
DistrictofColumbia	7443	51100	652100	114138.9357	0.078362214
Florida	150547	3619700	19429000	77485.71723	0.186303979
Georgia	62399	1592800	9813000	63588.09742	0.162315296
Hawaii	9781	68600	1355600	72152.55238	0.050604898
Idaho	10627	235000	1600600	66393.85231	0.146819943
Illinois	101891	1335800	12769500	79792.47426	0.104608638
Indiana	52046	814200	6471300	80425.88043	0.125817069
Iowa	24135	250800	3077400	78426.59388	0.081497368
Kansas	21490	283000	2817600	76270.58489	0.100440091
Kentucky	33194	624100	4400100	75439.19456	0.141837686
Louisiana	34639	645000	4532300	76426.97968	0.14231185
Maine	12139	123600	1316500	92206.60843	0.093885302
Maryland	48929	682000	5940900	82359.57515	0.114797421
Massachusetts	68899	208700	6647700	103643.3654	0.031394317
Michigan	76672	1041500	9892400	77505.96417	0.105282843
Minnesota	45865	370800	5381300	85230.33468	0.068905283
Mississippi	22017	414600	2903600	75826.56013	0.142788263
Missouri	47499	655800	5969400	79570.81114	0.109860287
Montana	8108	158000	993200	81635.11881	0.159081756
Nebraska	15197	171600	1852000	82057.23542	0.092656587
Nevada	17485	534700	2767100	63188.89812	0.193234795
NewHampshire	12392	151000	1318500	93985.58969	0.11452408
NewJersey	75148	1034500	8807400	85323.70507	0.117458047
NewMexico	14304	342200	2081300	68726.27685	0.16441647
NewYork	183969	1885100	19471100	94483.10573	0.09681528
NorthCarolina	69157	1439100	9652400	71647.46592	0.149092454
NorthDakota	6795	77200	714500	95101.46956	0.108047586
Ohio	95866	1358100	11413600	83992.78054	0.118989626
Oklahoma	28097	574200	3709400	75745.40357	0.154795924
Oregon	29314	481400	3960300	74019.64498	0.121556448
Pennsylvania	113459	1255700	12772600	88829.99546	0.098312012
RhodeIsland	9646	95300	1044300	92368.09346	0.091257302
SouthCarolina	33468	758000	4688800	71378.60433	0.161661832
SouthDakota	7221	83100	833400	86645.06839	0.099712023
Tennessee	46149	844200	6400200	72105.5592	0.131902128
Texas	176341	5405700	26383500	66837.60684	0.20488942
Utah	16425	359700	2893500	56765.1633	0.124313116
Vermont	6221	47700	621400	100112.6489	0.07676215
Virginia	60364	944500	8204100	73577.84522	0.115125364
Washington	53022	808200	6866000	77224.00233	0.117710457
WestVirginia	16622	213800	1822000	91229.41822	0.117343578
Wisconsin	47030	500300	5641900	83358.44308	0.088675801
Wyoming	4639	91300	582200	79680.52216	0.156818963
