Track	Speed	Height	Drop	Length	Duration	Inversions
Steel	4.5	8		262.5		0
Steel	16.2	10.8		197.5		0
Steel	17.4	26.3		574.2		0
Steel	20.5	23		649.6		0
Steel	21.7	27.9		679.2		0
Steel	21.8	19		410.1		0
Steel	22.4	36.4		984.3	60	0
Steel	22.4	36.4		984.3	68	0
Steel	23.6	16.4		984.3		1
Steel	24.6	30.2		764.4	53	0
Steel	24.9	26.3		623.3		0
Steel	25.5	32.8		774.3		0
Steel	25.7	50		1282.8	48	1
Steel	25.7	50		1282.8		1
Steel	25.7	50		1282.8		1
Steel	26	49.3		908.8		0
Steel	26.7	36.1		1017.1	100	0
Steel	26.8	48.3		1194.3	60	0
Steel	28	45.9		1213.9	85	0
Steel	28	45.9		1213.9	85	0
Steel	28	49.3		1213.9	70	0
Steel	28	49.3		1213.9	92	0
Steel	28	49.3		1213.9	94	0
Steel	28.5	42.7		1099.1		0
Steel	28.6	42.7		1036.8		0
Steel	29.1	34.8		990.8		1
Steel	29.1	42.7		1377.9	90	0
Steel	29.1	42.7		1377.9	90	0
Steel	29.1	42.7		1377.9	90	0
Steel	29.1	42.7		1377.9	90	0
Steel	29.1	42.7		1377.9	135	0
Steel	29.1	45.9		1377.9		0
Steel	31.1	39.3		593.8		0
Steel	32.9	65.6		2673.9		0
Steel	34.2	55.8		1410.8		0
Steel	35	51.8	49.8	1312.3	95	0
Steel	35	59		1427	86	0
Steel	36	55.8		1410.8	75	0
Steel	37	107		825		0
Steel	37.3	50.8		1391.1	80	0
Steel	37.3	116.5		820.3		0
Steel	38	120	54	1019		0
Steel	38.5	62.3		1026.9		1
Steel	40	75	68	2400		1
Steel	40.4	65.6		1633.8		0
Steel	41	94	66	2423	60	1
Steel	42	70	64	3100	120	0
Steel	43.5	49.3		1036.8	47	1
Steel	43.5	65.6		1640.4	112	0
Steel	43.5	65.6		1902.9		0
Steel	43.5	72.2		1184.4		1
Steel	43.5	72.2		1184.4		1
Steel	43.5	72.2		1184.4		1
Steel	43.5	75.5		1624	90	1
Steel	43.5	82		1263.1	45	1
Steel	44.7	47.1		1960.7		0
Steel	44.7	52.5		1574.8		1
Steel	45	56	47	635	66	1
Steel	45	63		1775		1
Steel	45	90		1300	73	1
Steel	46	70	62	1250		1
Steel	46.6	63.3		1486.3		0
Steel	46.6	103.7		1213.9		1
Steel	46.6	105		2585.3	160	1
Steel	46.6	105		2585.3	160	1
Steel	47	116.5		935	108	1
Steel	47	116.5		935	108	1
Steel	47	116.5		935	108	1
Steel	47	116.5		935	108	1
Steel	47	116.5		935	108	1
Steel	47	116.5		935	108	1
Steel	47	131.3		935	108	1
Steel	47.9	80.4		1942.3	90	1
Steel	47.9	80.4		1942.3	120	1
Steel	49.7	78.8		1584.7		1
Steel	49.7	108.3	95.2	2624.7	130	1
Steel	49.7	108.3	95.2	2624.7	130	1
Steel	49.7	108.3	95.2	2624.7	130	1
Steel	49.7	108.3	95.2	2624.7	130	1
Steel	49.7	108.3	95.2	2624.7	130	1
Steel	49.7	108.3	95.2	2624.7	130	1
