Location	prop_coverage	spending_capita
Alabama		0.446377968	33788
Alaska		0.51980057	7684
Arizona		0.436734261	41481
Arkansas	0.388598182	20500
California	0.464876206	278168
Colorado	0.538431047	34090
Connecticut	0.567353097	34223
Delaware	0.520950181	9038
DC		0.497316363	7443
Florida		0.412960008	150547
Georgia		0.479007439	62399
Hawaii		0.540424904	9781
Idaho		0.501187055	10627
Illinois	0.530028584	101891
Indiana		0.540015144	52046
Iowa		0.566419705	24135
Kansas		0.543192788	21490
Kentucky	0.471989273	33194
Louisiana	0.459678309	34639
Maine		0.499962021	12139
Maryland	0.533993166	48929
Massachusetts	0.58799284	68899
Michigan	0.544660547	76672
Minnesota	0.601100106	45865
Mississippi	0.43738807	22017
Missouri	0.506985627	47499
Montana		0.443717277	8108
Nebraska	0.567386609	15197
Nevada		0.486249142	17485
NewHampshire	0.590367842	12392
NewJersey	0.574528238	75148
NewMexico	0.383125931	14304
NewYork		0.493860131	183969
NorthCarolina	0.445018855	69157
NorthDakota	0.57816655	6795
Ohio		0.515516577	95866
Oklahoma	0.452660808	28097
Oregon		0.483549226	29314
Pennsylvania	0.5502247	113459
RhodeIsland	0.540170449	9646
SouthCarolina	0.455596315	33468
SouthDakota	0.53287737	7221
Tennessee	0.452360864	46149
Texas		0.465578866	176341
Utah		0.588214965	16425
Vermont		0.511264886	6221
Virginia	0.568203703	60364
Washington	0.51581707	53022
WestVirginia	0.461745335	16622
Wisconsin	0.559120155	47030
Wyoming		0.525420818	4639
