Year	ChickPrice	BeefPrice	BeefConsump	CPI	DPI	RealChickenPrice	RealBeefPrice	RealDPI		(RDPI-Mean)^sq
1965	37.24500733	59.5		99.5		31.5	2505	118.2381185		188.8888889	7952.380952	63240362.81
1966	39.44150776	62.2		104.1		32.4	2675	121.7330486		191.9753086	8256.17284	68164389.96
1967	36.38550716	60.7		106.5		33.4	2828	108.9386442		181.7365269	8467.065868	71691204.42
1968	38.00900748	63.5		109.7		34.8	3037	109.2212859		182.4712644	8727.011494	76160729.62
1969	40.30100793	70.4		110.8		36.7	3239	109.8120107		191.8256131	8825.613079	77891446.22
1970	38.96400767	72.5		113.5		38.8	3489	100.4227002		186.8556701	8992.268041	80860884.53
1971	40.51103838	75		112.7		40.5	3740	100.0272553		185.1851852	9234.567901	85277244.32
1972	41.86140633	82.1		115.5		41.8	4000	100.1469051		196.4114833	9569.37799	91572995.12
1973	54.98698276	102.8		108.8		44.4	4481	123.8445558		231.5315315	10092.34234	101855374
1974	53.20449707	102.1		115.7		49.3	4855	107.9198724		207.0993915	9847.870183	96980547.13
1975	59.36217491	102.8		118.8		53.8	5291	110.3386151		191.0780669	9834.572491	96718816.07
1976	59.7		96.9		127.5		56.9	5744	104.9209139		170.2987698	10094.90334	101907073.4
1977	60.1		92		124		60.6	6262	99.17491749		151.8151815	10333.33333	106777777.8
1978	66.5		124.01887	117.9		65.2	6968	101.993865		190.2129908	10687.11656	114214460.5
1979	68		154.0014539	105.5		72.6	7682	93.66391185		212.1232148	10581.26722	111963215.9
1980	72		162.1785223	103.4		82.4	8421	87.37864078		196.818595	10219.66019	104441454.5
1981	73.7		162.8599447	104.3		90.9	9243	81.07810781		179.1638555	10168.31683	103394667.2
1982	71.6		165.5856341	103.7		96.5	9724	74.19689119		171.5913307	10076.68394	101539559.2
1983	72.8		162.1785223	105.7		99.6	10340	73.09236948		162.8298417	10381.5261	107776084.3
1984	81.4		163.541367	105.5		103.9	11257	78.34456208		157.4026632	10834.45621	117385441.3
1985	76		158.7714105	106.5		107.6	11861	70.63197026		147.5570729	11023.2342	121511692.2
1986	84		157.4085658	107.3		109.6	12469	76.64233577		143.6209542	11376.82482	129432142.9
1987	78		164.9042117	103.3		113.6	13094	68.66197183		145.1621582	11526.40845	132858091.8
1988	85.37		250.3416667	102.7985812	118.3	14477	72.16398986		211.6159482	12237.5317	149757182.1
1989	92.7		265.6583333	97.66680451	124	15307	74.75806452		214.2405914	12344.35484	152383096.4
1990	89.92		281.0166667	95.79480182	130.7	16205	68.79877582		215.0089263	12398.6228	153725847.3
1991	88.03		288.325		94.85575823	136.2	16766	64.6328928		211.6923642	12309.83847	151532123.2
1992	86.92		284.6083333	94.14388814	140.3	17636	61.95295795		202.8569732	12570.2067	158010096.5
1993	89.02		293.4416667	92.00207489	144.5	18153	61.60553633		203.0738178	12562.62976	157819666.4
1994	90.09		282.875		95.16542917	148.2	19003	60.78947368		190.8738192	12822.53711	164417458
1995	91.67		284.3333333	95.54054105	152.4	20604	60.15091864		186.5704287	13519.68504	182781883.6
1996	97.27		280.2333333	95.69209432	156.9	21375	61.99490121		178.606331	13623.32696	185595037.5
1997	100.19		279.5333333	93.61479158	160.5	22312	62.42367601		174.1640706	13901.55763	193253304.6
1998	104.37		277.1166667	95.00751498	163	23016	64.03067485		170.0102249	14120.2454	199381330.1
1999	105.59		287.7607738	96.1614064	166.6	23693	63.37935174		172.7255545	14221.4886	202250737.9
2000	107.12		306.4		96.46501484	172.2	24908	62.20673635		177.9326365	14464.57607	209223961
