Location year type tot_coverage abb region tot_spending tot_pop prop_coverage spending_capita
Alabama 2013 Employer 2126500 AL South 33788 4763900 0.4463779676315624 7092.508239047839
Alaska 2013 Employer 364900 AK West 7684 702000 0.5198005698005698 10945.868945868946
Arizona 2013 Employer 2883800 AZ West 41481 6603100 0.4367342611803547 6282.049340461299
Arkansas 2013 Employer 1128800 AR South 20500 2904800 0.3885981823189204 7057.284494629579
California 2013 Employer 17747300 CA West 278168 38176400 0.4648762062426001 7286.386353873074
Colorado 2013 Employer 2852500 CO West 34090 5297800 0.5384310468496357 6434.746498546567
Connecticut 2013 Employer 2030500 CT Northeast 34223 3578900 0.5673530973204057 9562.435385174216
Delaware 2013 Employer 473700 DE South 9038 909300 0.5209501814582645 9939.513911800286
"District of Columbia" 2013 Employer 324300 NA NA 7443 652100 0.49731636252108574 11413.893574605121
Florida 2013 Employer 8023400 FL South 150547 19429000 0.4129600082351125 7748.571722682588
Georgia 2013 Employer 4700500 GA South 62399 9813000 0.4790074391113829 6358.8097421787425
Hawaii 2013 Employer 732600 HI West 9781 1355600 0.5404249041015049 7215.255237533195
Idaho 2013 Employer 802200 ID West 10627 1600600 0.5011870548544296 6639.385230538548
Illinois 2013 Employer 6768200 IL "North Central" 101891 12769500 0.5300285837346803 7979.247425506089
Indiana 2013 Employer 3494600 IN "North Central" 52046 6471300 0.5400151437887287 8042.588042588042
Iowa 2013 Employer 1743100 IA "North Central" 24135 3077400 0.5664197049457335 7842.659387794892
Kansas 2013 Employer 1530500 KS "North Central" 21490 2817600 0.5431927881885292 7627.058489494605
Kentucky 2013 Employer 2076800 KY South 33194 4400100 0.47198927297106885 7543.919456375991
Louisiana 2013 Employer 2083400 LA South 34639 4532300 0.4596783090263222 7642.697967919158
Maine 2013 Employer 658200 ME Northeast 12139 1316500 0.4999620205089252 9220.660843144702
Maryland 2013 Employer 3172400 MD South 48929 5940900 0.5339931660186167 8235.957514854652
Massachusetts 2013 Employer 3908800 MA Northeast 68899 6647700 0.5879928396287438 10364.336537449042
Michigan 2013 Employer 5388000 MI "North Central" 76672 9892400 0.5446605474910032 7750.596417451781
Minnesota 2013 Employer 3234700 MN "North Central" 45865 5381300 0.6011001059223607 8523.033467749428
Mississippi 2013 Employer 1270000 MS South 22017 2903600 0.4373880699820912 7582.656013224962
Missouri 2013 Employer 3026400 MO "North Central" 47499 5969400 0.5069856266961503 7957.0811136797665
Montana 2013 Employer 440700 MT West 8108 993200 0.443717277486911 8163.511880789368
Nebraska 2013 Employer 1050800 NE "North Central" 15197 1852000 0.5673866090712743 8205.723542116632
Nevada 2013 Employer 1345500 NV West 17485 2767100 0.4862491417006975 6318.889812439015
"New Hampshire" 2013 Employer 778400 NH Northeast 12392 1318500 0.5903678422449754 9398.55896852484
"New Jersey" 2013 Employer 5060100 NJ Northeast 75148 8807400 0.5745282376183664 8532.370506619434
"New Mexico" 2013 Employer 797400 NM West 14304 2081300 0.3831259309085668 6872.627684620189
"New York" 2013 Employer 9616000 NY Northeast 183969 19471100 0.4938601311687578 9448.310573105782
"North Carolina" 2013 Employer 4295500 NC South 69157 9652400 0.4450188554141975 7164.74659152128
"North Dakota" 2013 Employer 413100 ND "North Central" 6795 714500 0.5781665500349895 9510.146955913226
Ohio 2013 Employer 5883900 OH "North Central" 95866 11413600 0.5155165767154973 8399.278054251068
Oklahoma 2013 Employer 1679100 OK South 28097 3709400 0.45266080767779154 7574.54035693104
Oregon 2013 Employer 1915000 OR West 29314 3960300 0.4835492260687322 7401.964497639067
Pennsylvania 2013 Employer 7027800 PA Northeast 113459 12772600 0.5502246997478979 8882.999545902949
"Rhode Island" 2013 Employer 564100 RI Northeast 9646 1044300 0.5401704491046634 9236.80934597338
"South Carolina" 2013 Employer 2136200 SC South 33468 4688800 0.45559631462207817 7137.860433373145
"South Dakota" 2013 Employer 444100 SD "North Central" 7221 833400 0.5328773698104151 8664.506839452844
Tennessee 2013 Employer 2895200 TN South 46149 6400200 0.45236086372300865 7210.555920127496
Texas 2013 Employer 12283600 TX South 176341 26383500 0.4655788655788656 6683.760683760684
Utah 2013 Employer 1702000 UT West 16425 2893500 0.5882149645757733 5676.51632970451
Vermont 2013 Employer 317700 VT Northeast 6221 621400 0.5112648857418732 10011.264885741874
Virginia 2013 Employer 4661600 VA South 60364 8204100 0.5682037030265356 7357.78452237296
Washington 2013 Employer 3541600 WA West 53022 6866000 0.5158170696184096 7722.400233032333
"West Virginia" 2013 Employer 841300 WV South 16622 1822000 0.4617453347969265 9122.941822173436
Wisconsin 2013 Employer 3154500 WI "North Central" 47030 5641900 0.5591201545578617 8335.844307768659
Wyoming 2013 Employer 305900 WY West 4639 582200 0.5254208175884576 7968.052215733425
