year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code
2000,tt0191754,28 Days,ok,ok,PASS,43000000,37035515,62063972,2000PASS,58175060,50105659,83966868,3,2
2000,tt0181875,Almost Famous,ok,ok,PASS,60000000,32522352,47371191,2000PASS,81174503,43999763,64088881,3,2
2000,tt0144084,American Psycho,notalk-disagree,notalk,FAIL,8000000,15070285,28674417,2000FAIL,10823267,20388715,38793859,3,2
2000,tt0221889,Beautiful Creatures,ok,ok,PASS,50000000,19452138,55940671,2000PASS,67645419,26316961,75682603,3,2
2000,tt0218839,Best in Show,ok,ok,PASS,6000000,18621249,20695413,2000PASS,8117450,25192844,27998998,3,2
2000,tt0249462,Billy Elliot,ok,ok,PASS,5000000,21995263,109280263,2000PASS,6764542,29757576,147846184,3,2
2000,tt0181984,Boiler Room,notalk,notalk,FAIL,9000000,16963963,28773637,2000FAIL,12176175,22950688,38928095,3,2
2000,tt0204946,Bring It On,ok,ok,PASS,10000000,68353550,90453550,2000PASS,13529084,92476091,122375366,3,2
2000,tt0162222,Cast Away,notalk,notalk,FAIL,85000000,233632142,427230516,2000FAIL,114997212,316082883,578003746,3,2
2000,tt0173716,Cecil B. Demented,ok,ok,PASS,10000000,1276984,1953882,2000PASS,13529084,1727642,2643423,3,2
2000,tt0210616,Center Stage,ok,ok,PASS,18000000,17200925,17200925,2000PASS,24352351,23271276,23271276,3,2
2000,tt0160127,Charlie's Angels,ok,ok,PASS,90000000,125305545,259736090,2000PASS,121761754,169526922,351399133,3,2
2000,tt0120630,Chicken Run,ok,ok,PASS,42000000,106793915,227793915,2000PASS,56822152,144482383,308184297,3,2
2000,tt0241303,Chocolat,ok,ok,PASS,25000000,71309760,152500343,2000PASS,33822710,96475572,206318992,3,2
2000,tt0200550,Coyote Ugly,men-disagree,men,FAIL,45000000,60786269,115786269,2000FAIL,60880877,82238253,156648214,3,2
2000,tt0168629,Dancer in the Dark,ok,ok,PASS,12500000,4157491,45557491,2000PASS,16911355,5624704,61635111,3,2
2000,tt0242423,"Dude, Where's My Car",men,men,FAIL,14000000,46729374,73180297,2000FAIL,18940717,63220562,99006237,3,2
2000,tt0142032,Dune,ok,ok,PASS,45000000,27447471,27447471,2000PASS,60880877,37133914,37133914,3,2
2000,tt0195685,Erin Brockovich,ok,ok,PASS,50000000,125548685,257805243,2000PASS,67645419,169855868,348786874,3,2
2000,tt0195714,Final Destination,notalk,notalk,FAIL,23000000,53302314,112036870,2000FAIL,31116893,72113147,151575620,3,2
2000,tt0172495,Gladiator,nowomen,nowomen,FAIL,103000000,187683805,457683805,2000FAIL,139349563,253918993,619204256,3,2
2000,tt0187078,Gone in Sixty Seconds,notalk,notalk,FAIL,103300000,101643008,232643008,2000FAIL,139755436,137513677,314744675,3,2
2000,tt0146882,High Fidelity,men,men,FAIL,20000000,27277055,47881663,2000FAIL,27058168,36903356,64779503,3,2
2000,tt0164052,Hollow Man,ok,ok,PASS,90000000,73209340,191200000,2000PASS,121761754,99045530,258676083,3,2
2000,tt0185431,Little Nicky,notalk,notalk,FAIL,80000000,39442871,58270391,2000FAIL,108232671,53362591,78834500,3,2
2000,tt0199725,Love & Basketball,ok,ok,PASS,15000000,27441122,27709625,2000PASS,20293626,37125324,37488584,3,2
2000,tt0212338,Meet the Parents,men,men,FAIL,55000000,166225040,304599899,2000FAIL,74409961,224887250,412095756,3,2
2000,tt0209144,Memento,notalk,notalk,FAIL,5000000,25544867,39723096,2000FAIL,6764542,34559865,53741710,3,2
2000,tt0212346,Miss Congeniality,ok,ok,PASS,45000000,106807667,213420951,2000PASS,60880877,144500988,288738993,3,2
2000,tt0183523,Mission to Mars,notalk,notalk,FAIL,90000000,60874615,1.06E+08,2000FAIL,121761754,82357777,143408288,3,2
2000,tt0190590,"O Brother, Where Art Thou?",nowomen-disagree,nowomen,FAIL,26000000,45506619,75763814,2000FAIL,35175618,61566286,102501499,3,2
2000,tt0134847,Pitch Black,ok,ok,PASS,23000000,39235088,53182088,2000PASS,31116893,53081479,71950493,3,2
2000,tt0257001,Pokemon: The Movie 2000,men,men,FAIL,30000000,43746923,133946923,2000FAIL,40587251,59185579,181217915,3,2
2000,tt0199753,Red Planet,nowomen,nowomen,FAIL,80000000,17480890,33463969,2000FAIL,108232671,23650043,45273684,3,2
2000,tt0210945,Remember the Titans,notalk-disagree,notalk,FAIL,30000000,115654751,136706683,2000FAIL,40587251,156470282,184951617,3,2
2000,tt0180093,Requiem for a Dream,ok,ok,PASS,4500000,3635482,7390108,2000PASS,6088088,4918474,9998139,3,2
2000,tt0122459,Return to Me,dubious-disagree,dubious,FAIL,24000000,32662299,32662299,2000FAIL,32469801,44189098,44189098,3,2
2000,tt0165929,Romeo Must Die,nowomen,nowomen,FAIL,25000000,55973336,91036760,2000FAIL,33822710,75726795,123164396,3,2
2000,tt0213203,Rugrats in Paris:,ok,ok,PASS,30000000,76501438,103284813,2000PASS,40587251,103499437,139734889,3,2
2000,tt0195234,Saving Grace,ok,ok,PASS,4000000,12178602,27786849,2000PASS,5411634,16476533,37593061,3,2
2000,tt0134084,Scream 3,ok,ok,PASS,40000000,89138076,161838076,2000PASS,54116335,120595650,218952089,3,2
2000,tt0203119,Sexy Beast,men,men,FAIL,4300000,6946056,10154577,2000FAIL,5817506,9397377,13738212,3,2
2000,tt0184894,Shanghai Noon,notalk-disagree,notalk,FAIL,55000000,56932305,71189835,2000FAIL,74409961,77024193,96313324,3,2
2000,tt0208092,Snatch.,nowomen-disagree,nowomen,FAIL,10000000,30093107,83593107,2000FAIL,13529084,40713217,113093815,3,2
2000,tt0210299,Songcatcher,ok,ok,PASS,1800000,3050934,3050934,2000PASS,2435235,4127634,4127634,3,2
2000,tt0163978,The Beach,notalk,notalk,FAIL,50000000,39778599,39778599,2000FAIL,67645419,53816800,53816800,3,2
2000,tt0209958,The Cell,men,men,FAIL,35000000,61280963,85911226,2000FAIL,47351793,82907528,116230018,3,2
2000,tt0120917,The Emperor's New Groove,ok-disagree,ok,PASS,100000000,89296573,169296573,2000PASS,135290838,120810082,229042753,3,2
2000,tt0219699,The Gift,dubious,dubious,FAIL,10000000,12008642,44567606,2000FAIL,13529084,16246592,60295888,3,2
2000,tt0187393,The Patriot,dubious,dubious,FAIL,110000000,113330342,215300000,2000FAIL,148819922,153325570,291281175,3,2
