listPrice	AmazonPrice	hardOrPaper	NumPages	PubYear	Height	Width	Thick	Weight
12.95	5.18	P	304	2010	7.8	5.5	0.8	11.2
15	10.2	P	273	2008	8.4	5.5	0.7	7.2
1.5	1.5	P	96	1995	8.3	5.2	0.3	4
15.99	10.87	P	672	2008	8.8	6	1.6	28.8
30.5	16.77	P	720	2011	8	5.2	1.4	22.4
28.95	16.44	H	460	2011	8.9	6.3	1.7	32
20	13.46	H	336	2010	7.8	5.3	1.2	15.5
15	8.44	P	405	1987	8.2	5.3	0.8	11.2
30	19.8	H	304	1997	9.6	6.4	1.1	19.2
17	8.97	P	624	2001	7.7	5.1	1.7	16.2
17	10.46	P	720	2011	9.1	6.2	1.5	27.2
19.95	13.57	H	336	2008	7	5.3	1.3	14.9
20	14.6	P	448	1992	9	6	1	16
39.95	37.95	P	384	2000	9.2	6.6	0.8	22.4
18.99	11.58	H	192	2009	8.8	6.8	1	25.6
5.95	3.99	P	192	2003	7.4	5.2	0.5	8.8
15	10.2	P	384	2004	8	5.4	0.8	11.2
7.5	5.87	P	160	2004	6.7	4.1	0.6	4
15.95	10.85	H	176	1995	7.6	4.9	0.7	7.8
13	10.4	P	96	2000	8	5.7	0.5	4
11.94	11.94	P	428	2011	9	6	1.2	24
14	11.2	P	176	1997	8	5.2	0.5	9.6
14.95	8.96	P	352	2011	7.9	5.2	0.8	12.8
22.99	15.63	H	416	2003	7.5	5.7	1.4	16
15	10.2	P	313	1991	8.1	5.2	0.7	7.2
18	12.11	P	624	1990	8	5.2	1.2	19.2
7.95	7.95	H	336	2004	8.7	6.3	1.1	16
14.95	14.95	P	276	2011	7.8	5.1	1	16
14.95	10.17	P	256	2008	8	5.2	0.9	9.1
7.95	7.95	H	283	2009	6.3	4.5	0.6	4.2
15.95	8.39	H	416	1991	8	5.3	0.9	12.8
20	13.6	P	896	2007	8	5.4	1.8	22.4
14	8.75	P	128	2003	8.1	5.4	0.4	5.6
29.5	26.61	P	192	2005	8.9	6	0.5	9.6
11.99	9.59	P	144	2007	8	4.9	0.4	5.6
13.07	12.52	P	400	2009	8.3	5.1	0.9	13.6
13.95	11.16	P	206	1996	8	5.1	0.6	8.8
15	10.22	P	321	2004	7.9	5.2	0.8	12
4.99	4.99	H	24	2006	5.8	4.3	0.5	4
13	10.4	P	160	1993	8	5.4	0.4	4.8
13.99	10.54	P	129	2006	7.9	5.1	0.2	5.6
24.95	15.82	H	304	2009	9.5	6.6	1.1	24
26.99	15.6	H	288	2011	9.5	6.5	1	19.2
14.95	10.17	P	304	2006	8	5.3	0.7	5.6
6.69	6.99	P	288	2006	7.6	5.2	0.8	4.8
5.99	5.99	P	128	2008	6.8	4.1	0.4	2.4
13.95	11.16	P	560	2002	8	5.2	1.5	16
26.95	20.48	H	287	1998	8.1	5.3	1	12.2
24	16.32	H	624	1995	8.4	5.3	1.4	22.4
16	9.07	P	544	2011	8.4	5.4	1.3	19.2
13.99	8.38	P	288	2001	5.2	8	0.9	5.6
17.99	8.97	H	391	2009	8.3	5.7	1.5	22.4
15	10.2	P	432	1999	8	5.1	0.9	15.2
8.99	8.99	P	192	2001	8.6	5.5	0.9	13.6
6.99	6.99	P	32	1982	8.5	9.3	0.1	1.6
14.54	9.99	P	416	2007	7.5	4.2	1.2	9.6
17.99	11.36	P	256	2002	8	5.4	0.6	7.8
114.95	83.04	P	544	2007	9.1	7.3	0.8	28.8
48.2	44.32	P	384	2011	8.9	6	0.6	14.4
15.95	7.97	P	667	2010	8	5.2	1.2	17.6
15.95	7.97	P	667	2010	8	5.2	1.2	17.6
18	12.24	P	448	1996	7.7	5	0.8	11.4
86.95	54.61	P	512	2006	9.1	7.4	0.8	23.2
15	10.2	P	272	1991	7.9	5.1	0.8	9.6
17.99	11.46	H	496	2011	8.2	5.8	1.6	19.2
15	10.2	P	368	2001	8.2	5.6	0.8	9.6
11.5	11.5	P	601	2002	8.5	5.8	1.6	22.4
26.95	14.99	H	211	2011	8.3	5.5	1	8
6.99	6.99	P	352	1994	6.7	4.2	1	5.6
15	10.2	P	384	1990	8.2	5.3	0.8	10.4
16	10.88	P	320	1965	8.3	5.5	0.8	10.4
53.95	39.92	P	192	2003	9.1	6.1	0.5	11.2
15	10.2	P	288	2009	7.2	5.6	0.7	7.2
6.99	6.99	P	208	1987	6.9	4.1	0.7	4
12	9.07	P	224	1998	7.9	5.1	0.7	8
13.95	7.83	P	224	2005	8	5.4	0.7	6.4
14.99	10.19	H	352	1964	5.6	8.2	1	10.4
30	17.43	H	255	1999	9.6	6.5	0.9	16
7.99	7.99	P	416	2003	6.8	4.2	1.1	7.2
8	8	P	208	2011	8.9	5.9	0.6	11.2
15.99	9.95	P	315	2009	7.9	5.3	0.8	8
26.99	14.61	H	400	2011	9.4	6.3	1.4	22.4
27.99	11.2	H	464	2010	9.1	6	1.7	1.2
17	10.46	P	720	2011	9.1	6.2	1.5	27.2
6.99	6.99	P	560	2008	6.7	4.1	0.9	9.6
14.95	8.97	H	32	2011	8.3	6.3	0.3	8
18	12.24	P	346	1994	8.5	5.4	0.8	14.1
16	9.2	P	464	2006	8.4	5.2	1	12.8
6.99	6.99	P	320	2004	7.5	5.2	0.9	8
16	10.88	P	464	1993	8.3	5.2	1.2	11.2
8.99	8.99	P	432	2010	8.2	5.5	1.2	14.4
16	9.09	P	305	2010	7.9	5.1	0.9	8.8
18	12.24	H	272	2008	8.1	5.6	0.9	12.8
8.99	8.99	H	72	1963	9.3	6.7	0.4	14.4
17	11.55	H	448	1998	7.8	5.1	0.9	11.2
14	11.2	P	226	2005	8.1	5.2	0.6	8.8
27.95	19.99	P	144	2008	10.8	8.4	0.5	17.6
139.95	139.95	P	160	2002	10.6	8.2	0.5	22.4
24.95	16.47	P	200	2007	9	7	1	14
6.95	6.95	P	272	2010	8.3	5.4	0.8	9.6
26	13	H	464	2011	9.5	6	1.5	25.6
26	14.44	H	432	2011	9.4	6.2	1.4	22.4
9.95	5.13	P	144	2007	7.6	5.2	0.4	4
16.99	11.55	P	288	2006	8	5.3	0.6	6.4
8.95	8.95	P	64	2010	6.3	4.2	0.2	2.4
14.95	8.6	P	198	1999	8.2	5.7	0.5	17.6
