Country Name,Country Code,Year,Value
Argentina,ARG,1990,72
Argentina,ARG,1991,71
Argentina,ARG,1992,69
Argentina,ARG,1993,65
Argentina,ARG,1994,64
Argentina,ARG,1995,63
Argentina,ARG,1996,63
Argentina,ARG,1997,64
Argentina,ARG,1998,61
Argentina,ARG,1999,62
Argentina,ARG,2000,60
Argentina,ARG,2001,61
Argentina,ARG,2002,60
Argentina,ARG,2003,61
Argentina,ARG,2004,59
Argentina,ARG,2005,58
Argentina,ARG,2006,57
Argentina,ARG,2007,58
Argentina,ARG,2008,57
Argentina,ARG,2009,62
Argentina,ARG,2010,58
Argentina,ARG,2011,56
Argentina,ARG,2012,55
Argentina,ARG,2013,54
Argentina,ARG,2014,54
Argentina,ARG,2015,52
Canada,CAN,1990,7
Canada,CAN,1991,8
Canada,CAN,1992,8
Canada,CAN,1993,8
Canada,CAN,1994,8
Canada,CAN,1995,9
Canada,CAN,1996,9
Canada,CAN,1997,9
Canada,CAN,1998,9
Canada,CAN,1999,9
Canada,CAN,2000,9
Canada,CAN,2001,9
Canada,CAN,2002,9
Canada,CAN,2003,9
Canada,CAN,2004,9
Canada,CAN,2005,9
Canada,CAN,2006,9
Canada,CAN,2007,9
Canada,CAN,2008,9
Canada,CAN,2009,8
Canada,CAN,2010,8
Canada,CAN,2011,8
Canada,CAN,2012,8
Canada,CAN,2013,7
Canada,CAN,2014,7
Canada,CAN,2015,7
Chile,CHL,1990,57
Chile,CHL,1991,52
Chile,CHL,1992,48
Chile,CHL,1993,45
Chile,CHL,1994,43
Chile,CHL,1995,41
Chile,CHL,1996,39
Chile,CHL,1997,36
Chile,CHL,1998,34
Chile,CHL,1999,34
Chile,CHL,2000,31
Chile,CHL,2001,32
Chile,CHL,2002,29
Chile,CHL,2003,29
Chile,CHL,2004,29
Chile,CHL,2005,27
Chile,CHL,2006,28
Chile,CHL,2007,29
Chile,CHL,2008,28
Chile,CHL,2009,27
Chile,CHL,2010,26
Chile,CHL,2011,25
Chile,CHL,2012,24
Chile,CHL,2013,23
Chile,CHL,2014,23
Chile,CHL,2015,22
Mexico,MEX,1990,90
Mexico,MEX,1991,87
Mexico,MEX,1992,87
Mexico,MEX,1993,87
Mexico,MEX,1994,86
Mexico,MEX,1995,85
Mexico,MEX,1996,82
Mexico,MEX,1997,82
Mexico,MEX,1998,83
Mexico,MEX,1999,82
Mexico,MEX,2000,77
Mexico,MEX,2001,69
Mexico,MEX,2002,61
Mexico,MEX,2003,57
Mexico,MEX,2004,54
Mexico,MEX,2005,54
Mexico,MEX,2006,51
Mexico,MEX,2007,50
Mexico,MEX,2008,50
Mexico,MEX,2009,53
Mexico,MEX,2010,45
Mexico,MEX,2011,42
Mexico,MEX,2012,42
Mexico,MEX,2013,41
Mexico,MEX,2014,39
Mexico,MEX,2015,38
United States,USA,1990,12
United States,USA,1991,12
United States,USA,1992,12
United States,USA,1993,12
United States,USA,1994,12
United States,USA,1995,12
United States,USA,1996,11
United States,USA,1997,11
United States,USA,1998,11
United States,USA,1999,12
United States,USA,2000,12
United States,USA,2001,13
United States,USA,2002,13
United States,USA,2003,13
United States,USA,2004,13
United States,USA,2005,13
United States,USA,2006,14
United States,USA,2007,14
United States,USA,2008,14
United States,USA,2009,15
United States,USA,2010,14
United States,USA,2011,14
United States,USA,2012,14
United States,USA,2013,14
United States,USA,2014,14
United States,USA,2015,14
