age,gender,raceethnicity,year,state,cause,armed,pop,share_white,share_black,share_hispanic,nat_bucket,pov,urate
16,Male,Black,2015,AL,Gunshot,No,3779,60.5,30.5,5.6,3,14.1,0.097686375
27,Male,White,2015,LA,Gunshot,No,2769,53.8,36.2,0.5,1,28.8,0.065723794
26,Male,White,2015,WI,Gunshot,No,4079,73.8,7.7,16.8,3,14.6,0.166293142
25,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,4343,1.2,0.6,98.8,3,11.7,0.124827269
29,Male,White,2015,OH,Gunshot,No,6809,92.5,1.4,1.7,4,1.9,0.063549832
29,Male,White,2015,AZ,Gunshot,No,4682,7,7.7,79,1,58,0.073651452
22,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,5027,50.8,0.3,44.2,4,17.2,0.131461131
35,Male,Hispanic/Latino,2015,CA,Gunshot,Non-lethal firearm,5238,8.6,0.2,84.1,4,12.2,0.094346979
44,Male,White,2015,TX,Gunshot,Firearm,4832,14.6,17.7,66.3,1,37.7,0.140832976
31,Male,White,2015,MI,Gunshot,Other,3795,63.6,7.7,26.5,2,18.4,0.174167417
76,Male,White,2015,CA,Gunshot,Knife,2786,51.4,0.9,44.9,3,9.2,0.041085271
40,Male,White,2015,CA,Gunshot,No,9429,67.3,0.6,12.9,5,4.4,0.057580779
NA,Male,Hispanic/Latino,2015,TX,Gunshot,No,11228,7.5,32.1,53.3,3,18.1,0.073771857
31,Male,White,2015,IN,Gunshot,Firearm,3413,83.7,7.6,3.1,2,13.1,0.054470101
23,Male,White,2015,IN,Gunshot,Non-lethal firearm,5573,64,23.5,7.5,2,26,0.067321178
39,Male,Hispanic/Latino,2015,TN,Gunshot,Firearm,6315,37.5,27,24.7,1,36.3,0.088225858
25,Female,Black,2015,GA,Gunshot,Vehicle,1997,30.5,58.4,6.4,3,42.4,0.229482072
54,Male,Hispanic/Latino,2015,VA,Gunshot,Firearm,3651,52.2,16.2,15.7,2,20.5,0.011916111
24,Female,White,2015,CA,Gunshot,Firearm,5286,44.8,6.9,16.5,4,11.6,0.040850588
57,Male,Black,2015,CA,Death in custody,No,5740,31.3,7.5,15.2,5,6.4,0.063268366
21,Male,Hispanic/Latino,2015,CA,Gunshot,Vehicle,4303,28.3,5.1,58.1,4,12.7,0.115890508
42,Male,Black,2015,NE,Death in custody,No,5213,92.3,2.3,2.9,3,10.3,0.035221496
21,Male,Hispanic/Latino,2015,KS,Gunshot,Other,4149,40.3,10.7,41.4,1,36.5,0.178185745
36,Male,White,2015,CA,Gunshot,Firearm,6460,17.8,4.4,76.4,2,24.4,0.262976968
26,Male,White,2015,OK,Gunshot,Firearm,3348,77.7,0.9,9.7,1,20.3,0.011335013
49,Male,White,2015,OR,Gunshot,Firearm,5824,78.1,2.2,15.1,2,24.8,0.131158917
54,Male,White,2015,NH,Gunshot,Firearm,4521,94,1.8,1.9,4,5.4,0.087385483
26,Male,White,2015,CA,Gunshot,Firearm,3202,7.7,6,77.9,3,17.4,0.098980204
48,Male,Black,2015,FL,Gunshot,Firearm,6172,86.2,7.4,6.5,2,18.2,0.176148796
33,Male,Hispanic/Latino,2015,TX,Gunshot,Firearm,4160,6,3.4,89.9,1,58.1,0.14461316
21,Male,Hispanic/Latino,2015,CA,Gunshot,Knife,7886,56.6,1.2,35.9,3,24.1,0.17323741
41,Male,Black,2015,MA,Gunshot,Firearm,4924,1.6,66.4,35.2,1,41.3,0.22039801
48,Male,Black,2015,TN,Gunshot,Vehicle,4228,0.6,98.6,0,2,18.9,0.218520333
36,Male,Black,2015,AL,Gunshot,Knife,6018,89.9,4.3,1.4,4,8.9,0.063658099
41,Male,Hispanic/Latino,2015,GA,Gunshot,Firearm,5601,93.7,0.6,5.1,3,9.5,0.133676093
29,Male,Black,2015,PA,Gunshot,Knife,2742,42,12.3,37.1,2,9.3,0.206855081
27,Male,Black,2015,GA,Gunshot,No,3305,60.1,9.5,13.7,4,18.6,0.170409511
45,Male,White,2015,GA,Gunshot,Firearm,4838,65.1,23.7,6.3,2,27.8,0.11037302
32,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,2584,4.3,3.4,89.6,1,37.4,0.123766135
35,Male,Hispanic/Latino,2015,WA,Gunshot,Firearm,6747,16.5,0.9,78.7,1,35.9,0.131743119
36,Male,Black,2015,AR,Gunshot,Firearm,3245,53.7,44.4,1.8,1,15.6,0.055732484
35,Male,Black,2015,GA,Taser,Knife,4947,94.1,2.4,2.6,2,20.5,0.150121065
40,Male,Hispanic/Latino,2015,OK,Gunshot,Vehicle,5887,33.9,2.6,56.6,1,25.1,0.142746615
18,Male,White,2015,FL,Gunshot,Firearm,5004,83.9,4,5.5,3,17.1,0.115461847
34,Female,White,2015,IA,Gunshot,Firearm,4465,72.1,14.5,6.8,1,26.3,0.105963791
39,Male,Hispanic/Latino,2015,CA,Gunshot,Knife,8623,4.2,0.2,93.9,3,20.6,0.123624444
21,Male,Hispanic/Latino,2015,TX,Gunshot,Other,3013,3.3,11.7,84.7,1,36.2,0.109816972
62,Male,Black,2015,GA,Struck by vehicle,No,3580,5.1,85.1,6.2,1,41.4,0.23108747
43,Female,White,2015,NC,Gunshot,Firearm,5876,59.9,31.7,2.9,1,28.7,0.195510204
44,Male,White,2015,NM,Gunshot,Firearm,5203,15.8,0.3,81.5,2,25.8,0.076500588
29,Male,White,2015,OK,Gunshot,Firearm,4601,39.3,0.1,1.7,2,19.1,0.042686101
35,Male,Black,2015,DC,Gunshot,Firearm,2664,60.6,7.8,10.5,5,11.9,0.019665683
50,Male,White,2015,FL,Gunshot,Knife,8874,57,17.7,19.8,2,14.1,0.080136986
18,Male,Black,2015,OH,Gunshot,Firearm,2182,0,98.9,0.1,1,32.8,0.204280156
25,Male,White,2015,TX,Gunshot,Firearm,6701,74.9,0.8,22.8,4,10.2,0.047407913
31,Male,White,2015,ID,Gunshot,Knife,9680,89,0,8.1,4,9.5,0.095137421
