name,league,rank,prev_rank,off,def,spi
Boca Juniors,Argentina Primera Division,74,71,1.8,1,65.5
Grêmio,Brasileiro Série A,76,85,1.5,0.7,64.6
Flamengo,Brasileiro Série A,78,79,1.6,0.8,64.2
Palmeiras,Brasileiro Série A,79,81,1.6,0.8,64.2
São Paulo,Brasileiro Série A,89,95,1.6,0.9,63.3
Internacional,Brasileiro Série A,90,96,1.5,0.8,62.9
River Plate,Argentina Primera Division,109,108,1.6,0.9,60.6
Monterrey,Mexican Primera Division Torneo Apertura,121,110,1.6,1,58.7
Cruzeiro,Brasileiro Série A,125,125,1.4,0.8,57.9
Club América,Mexican Primera Division Torneo Apertura,130,145,1.6,1.1,57.4
CA Independiente,Argentina Primera Division,132,130,1.5,1,57.4
Atletico Mineiro,Brasileiro Série A,138,127,1.7,1.2,57
Corinthians,Brasileiro Série A,141,144,1.3,0.9,55.9
Cruz Azul,Mexican Primera Division Torneo Apertura,149,143,1.4,1,55
Tigres UANL,Mexican Primera Division Torneo Apertura,154,142,1.3,0.9,54.7
Bahía,Brasileiro Série A,156,162,1.4,1.1,54.4
Santos,Brasileiro Série A,163,155,1.4,1,53.7
Racing Club,Argentina Primera Division,164,163,1.5,1.1,53.7
Atlético Paranaense,Brasileiro Série A,165,166,1.3,1,53.4
Santos Laguna,Mexican Primera Division Torneo Apertura,167,168,1.5,1.2,52.9
Toluca,Mexican Primera Division Torneo Apertura,170,173,1.5,1.2,52.3
Botafogo,Brasileiro Série A,176,180,1.3,1.1,51.6
Fluminense,Brasileiro Série A,177,172,1.3,1.1,51.5
Chapecoense AF,Brasileiro Série A,185,183,1.2,1,50.1
Godoy Cruz,Argentina Primera Division,189,182,1.3,1.1,49.5
Velez Sarsfield,Argentina Primera Division,191,202,1.3,1.2,49.3
Tijuana,Mexican Primera Division Torneo Apertura,198,207,1.3,1.2,48.6
Vasco da Gama,Brasileiro Série A,202,203,1.3,1.2,48.4
Defensa y Justicia,Argentina Primera Division,205,201,1.3,1.2,48.3
San Lorenzo,Argentina Primera Division,209,209,1.2,1.1,48.1
Pumas Unam,Mexican Primera Division Torneo Apertura,210,204,1.4,1.4,47.6
Talleres de Córdoba,Argentina Primera Division,213,211,1.2,1.1,47.2
Necaxa,Mexican Primera Division Torneo Apertura,216,218,1.3,1.2,47
Union Santa Fe,Argentina Primera Division,219,220,1.2,1.1,46.8
Pachuca,Mexican Primera Division Torneo Apertura,222,225,1.3,1.3,46.4
Sport Recife,Brasileiro Série A,224,215,1.3,1.2,46.1
Colon Santa Fe,Argentina Primera Division,232,232,1.1,1.1,45.6
León,Mexican Primera Division Torneo Apertura,233,258,1.4,1.4,45.6
Guadalajara,Mexican Primera Division Torneo Apertura,236,233,1.3,1.3,45.4
Morelia,Mexican Primera Division Torneo Apertura,244,242,1.4,1.4,44.9
Argentinos Juniors,Argentina Primera Division,249,256,1.1,1.2,44.5
Vítoria,Brasileiro Série A,251,244,1.4,1.4,44.3
Belgrano Cordoba,Argentina Primera Division,258,249,1.2,1.2,43.7
Ceará,Brasileiro Série A,262,267,1.1,1.1,43.3
Estudiantes,Argentina Primera Division,264,274,1.1,1.1,43.2
América Mineiro,Brasileiro Série A,269,263,1.1,1.2,42.8
Lanus,Argentina Primera Division,275,279,1.2,1.3,42.5
Tigre,Argentina Primera Division,281,275,1.2,1.4,42.1
Huracán,Argentina Primera Division,282,284,1.2,1.3,42.1
Lobos de la BUAP,Mexican Primera Division Torneo Apertura,285,271,1.2,1.4,41.9
Banfield,Argentina Primera Division,293,295,1,1.2,41
Atlas,Mexican Primera Division Torneo Apertura,295,307,1.1,1.3,40.9
Rosario Central,Argentina Primera Division,300,310,1.1,1.3,40.6
Puebla,Mexican Primera Division Torneo Apertura,304,285,1.2,1.4,40.4
Querétaro,Mexican Primera Division Torneo Apertura,307,296,1.1,1.3,40.2
Paraná,Brasileiro Série A,311,301,1,1.2,39.9
San Martin de Tucuman,Argentina Primera Division,317,316,1.2,1.4,39.6
Aldosivi,Argentina Primera Division,325,322,1.1,1.4,39
San Martin San Juan,Argentina Primera Division,329,340,1.1,1.4,38.6
Newell's Old Boys,Argentina Primera Division,333,321,1,1.3,38.4
Gimnasia La Plata,Argentina Primera Division,335,329,1.1,1.4,38.1
Veracruz,Mexican Primera Division Torneo Apertura,350,367,1.1,1.4,37.1
Atlético Tucumán,Argentina Primera Division,351,346,1,1.3,37.1
Patronato,Argentina Primera Division,372,371,1,1.4,35.4
