name,league,rank,prev_rank,off,def,spi
Barcelona,Spanish Primera Division,2,2,3.1,0.4,92
Real Madrid,Spanish Primera Division,4,4,3.1,0.5,91.3
Atletico Madrid,Spanish Primera Division,8,8,2.3,0.3,87.1
Valencia,Spanish Primera Division,17,17,2.1,0.6,79
Sevilla FC,Spanish Primera Division,18,18,2.2,0.7,78.2
Real Sociedad,Spanish Primera Division,19,19,2.2,0.7,78.2
Getafe,Spanish Primera Division,27,27,1.8,0.5,75.7
Eibar,Spanish Primera Division,28,28,1.9,0.6,75.6
Athletic Bilbao,Spanish Primera Division,29,30,2,0.7,75.1
Villarreal,Spanish Primera Division,30,31,2.1,0.7,75
Real Betis,Spanish Primera Division,33,33,2,0.7,74.6
Espanyol,Spanish Primera Division,34,34,1.9,0.6,74.3
Celta Vigo,Spanish Primera Division,38,38,2.1,0.8,73.1
Girona FC,Spanish Primera Division,39,40,2,0.8,72.5
Leganes,Spanish Primera Division,46,45,1.8,0.7,71.2
Alavés,Spanish Primera Division,52,50,1.8,0.8,70.1
SD Huesca,Spanish Primera Division,54,52,1.8,0.8,68.7
Rayo Vallecano,Spanish Primera Division,56,55,1.8,0.8,68.5
Real Valladolid,Spanish Primera Division,57,57,1.8,0.8,68.2
Levante,Spanish Primera Division,60,60,1.9,0.9,67.9
Málaga,Spanish Segunda Division,225,228,1.4,1.4,46
Deportivo La Coruña,Spanish Segunda Division,245,243,1.3,1.4,44.9
Las Palmas,Spanish Segunda Division,278,282,1.3,1.4,42.2
Cadiz,Spanish Segunda Division,344,342,1,1.3,37.6
Sporting Gijón,Spanish Segunda Division,358,354,1.1,1.5,36.5
Real Zaragoza,Spanish Segunda Division,380,378,1.1,1.6,34.8
Osasuna,Spanish Segunda Division,391,384,0.9,1.3,34.1
Cordoba,Spanish Segunda Division,417,420,1.1,1.7,31.5
Tenerife,Spanish Segunda Division,419,422,1,1.6,31.3
Granada,Spanish Segunda Division,432,436,1,1.7,30.1
Numancia,Spanish Segunda Division,436,438,0.8,1.5,29.8
Mallorca,Spanish Segunda Division,443,446,1,1.7,29.2
Real Oviedo,Spanish Segunda Division,444,449,0.9,1.6,29.2
AD Alcorcon,Spanish Segunda Division,447,453,0.7,1.4,29.1
Rayo Majadahonda,Spanish Segunda Division,451,455,0.9,1.7,28.8
Gimnástic Tarragona,Spanish Segunda Division,466,464,0.8,1.6,26.8
Extremadura UD,Spanish Segunda Division,467,465,0.9,1.7,26.7
Almeria,Spanish Segunda Division,470,469,0.7,1.5,26.5
Elche,Spanish Segunda Division,479,476,0.8,1.8,25.4
Albacete,Spanish Segunda Division,483,479,0.7,1.6,25.2
Reus Deportiu,Spanish Segunda Division,490,486,0.6,1.5,23.9
Lugo,Spanish Segunda Division,500,496,0.7,1.6,23.2
