Province,Fertility,Agriculture,Examination,Education,Catholic,Infant.Mortality
Courtelary,80.2,17,15,high_school,9.96,22.2
Delemont,83.1,45.1,6,primary,84.84,22.2
Franches-Mnt,92.5,39.7,5,primary,93.4,20.2
Moutier,85.8,36.5,12,primary,33.77,20.3
Neuveville,76.9,43.5,17,advanced,5.16,20.6
Porrentruy,76.1,35.3,9,primary,90.57,26.6
Broye,83.8,70.2,16,primary,92.85,23.6
Glane,92.4,67.8,14,primary,97.16,24.9
Gruyere,82.4,53.3,12,primary,97.67,21
Sarine,82.9,45.2,16,advanced,91.38,24.4
Veveyse,87.1,64.5,14,primary,98.61,24.5
Aigle,64.1,62,21,high_school,8.52,16.5
Aubonne,66.9,67.5,14,primary,2.27,19.1
Avenches,68.9,60.7,19,high_school,4.43,22.7
Cossonay,61.7,69.3,22,primary,2.82,18.7
Echallens,68.3,72.6,18,primary,24.2,21.2
Grandson,71.7,34,17,primary,3.3,20
Lausanne,55.7,19.4,26,advanced,12.11,20.2
La Vallee,54.3,15.2,31,advanced,2.15,10.8
Lavaux,65.1,73,19,primary,2.84,20
Morges,65.5,59.8,22,high_school,5.23,18
Moudon,65,55.1,14,primary,4.52,22.4
Nyone,56.6,50.9,22,high_school,15.14,16.7
Orbe,57.4,54.1,20,primary,4.2,15.3
Oron,72.5,71.2,12,primary,2.4,21
Payerne,74.2,58.1,14,primary,5.23,23.8
Paysd'enhaut,72,63.5,6,primary,2.56,18
Rolle,60.5,60.8,16,high_school,7.72,16.3
Vevey,58.3,26.8,25,advanced,18.46,20.9
Yverdon,65.4,49.5,15,primary,6.1,22.5
Conthey,75.5,85.9,3,primary,99.71,15.1
Entremont,69.3,84.9,7,primary,99.68,19.8
Herens,77.3,89.7,5,primary,100,18.3
Martigwy,70.5,78.2,12,primary,98.96,19.4
Monthey,79.4,64.9,7,primary,98.22,20.2
St Maurice,65,75.9,9,primary,99.06,17.8
Sierre,92.2,84.6,3,primary,99.46,16.3
Sion,79.3,63.1,13,advanced,96.83,18.1
Boudry,70.4,38.4,26,high_school,5.62,20.3
La Chauxdfnd,65.7,7.7,29,high_school,13.79,20.5
Le Locle,72.7,16.7,22,advanced,11.22,18.9
Neuchatel,64.4,17.6,35,advanced,16.92,23
Val de Ruz,77.6,37.6,15,primary,4.97,20
ValdeTravers,67.6,18.7,25,primary,8.65,19.5
V. De Geneve,35,1.2,37,advanced,42.34,18
Rive Droite,44.7,46.6,16,advanced,50.43,18.2
Rive Gauche,42.8,27.7,22,advanced,58.33,19.3
