Convicted	Accused	WhiteVictim	MinVictim
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
Yes	White	0	1
Yes	White	0	1
Yes	White	0	1
Yes	White	0	1
Yes	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
No	White	0	1
Yes	Minority	1	0
Yes	Minority	1	0
Yes	Minority	1	0
Yes	Minority	1	0
Yes	Minority	1	0
Yes	Minority	1	0
Yes	Minority	1	0
Yes	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
No	Minority	1	0
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
Yes	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
Yes	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	1	0
No	White	0	1
No	White	0	1
No	White	0	1
Yes	Minority	1	0
Yes	Minority	1	0
No	Minority	1	0
Yes	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
No	Minority	0	1
